Task,StartTime,EndTime,LeftClicks,RightClicks,Keystrokes
Excel,20130206:101211,20130206:101213,0,0,2
Excel,20130206:101213,20130206:101245,16,0,23
Excel,20130206:101245,20130206:101248,1,0,0
Excel,20130206:101248,20130206:101250,1,0,0
FileOperation,20130206:101250,20130206:101251,2,0,2
FileOperation,20130206:101251,20130206:101252,0,0,0
FileOperation,20130206:101252,20130206:101254,3,0,0
FileOperation,20130206:101254,20130206:101256,3,0,0
Word&Powerpoint,20130206:101256,20130206:101257,0,0,0
Word&Powerpoint,20130206:101257,20130206:101306,1,0,2
FileOperation,20130206:101306,20130206:101308,0,0,2
Excel,20130206:101308,20130206:101310,1,0,2
Word&Powerpoint,20130206:101310,20130206:101312,0,0,2
Excel,20130206:101312,20130206:101316,0,0,6
FileOperation,20130206:101316,20130206:101317,0,0,2
Word&Powerpoint,20130206:101317,20130206:101319,0,0,2
Excel,20130206:101319,20130206:101323,0,0,10
Word&Powerpoint,20130206:101323,20130206:101330,0,0,2
Excel,20130206:101330,20130206:101333,0,0,5
Word&Powerpoint,20130206:101333,20130206:101334,0,0,3
Excel,20130206:101334,20130206:101337,0,0,10
Word&Powerpoint,20130206:101337,20130206:101338,0,0,1
Excel,20130206:101338,20130206:101340,0,0,8
Word&Powerpoint,20130206:101340,20130206:101345,1,0,0
Word&Powerpoint,20130206:101345,20130206:101347,1,0,0
Excel,20130206:101347,20130206:101348,0,0,1
FileOperation,20130206:101348,20130206:101349,1,0,1
FileOperation,20130206:101349,20130206:101350,1,0,1
Excel,20130206:101350,20130206:101351,0,0,0
Excel,20130206:101351,20130206:101354,1,0,2
Excel,20130206:101354,20130206:101402,1,0,15
Excel,20130206:101402,20130206:101406,1,0,2
Excel,20130206:101406,20130206:101445,14,0,22
Excel,20130206:101445,20130206:101447,1,0,1
FileOperation,20130206:101447,20130206:101448,0,0,1
FileOperation,20130206:101448,20130206:101450,1,0,2
FileOperation,20130206:101450,20130206:101454,2,0,0
FileOperation,20130206:101454,20130206:101456,1,0,1
Word&Powerpoint,20130206:101456,20130206:101502,0,0,0
Word&Powerpoint,20130206:101502,20130206:101505,0,0,0
Word&Powerpoint,20130206:101505,20130206:101517,0,0,3
FileOperation,20130206:101517,20130206:101518,0,0,3
Excel,20130206:101518,20130206:101525,1,0,11
FileOperation,20130206:101525,20130206:101527,0,0,6
Word&Powerpoint,20130206:101527,20130206:101532,0,0,2
Excel,20130206:101532,20130206:101536,0,0,8
Word&Powerpoint,20130206:101536,20130206:101544,0,0,2
Excel,20130206:101544,20130206:101551,1,0,13
Word&Powerpoint,20130206:101551,20130206:101553,0,0,2
Excel,20130206:101553,20130206:101556,0,0,8
Word&Powerpoint,20130206:101556,20130206:101557,1,0,0
Word&Powerpoint,20130206:101557,20130206:101558,0,0,2
Excel,20130206:101558,20130206:101559,0,0,3
FileOperation,20130206:101559,20130206:101601,2,0,1
Excel,20130206:101601,20130206:101604,1,0,0
Excel,20130206:101604,20130206:101612,1,0,17
FileOperation,20130206:101612,20130206:101613,0,0,2
FileOperation,20130206:101613,20130206:101615,3,0,0
FileOperation,20130206:101615,20130206:101616,0,0,1
Excel,20130206:101616,20130206:101618,0,0,2
Excel,20130206:101618,20130206:101622,1,0,9
Excel,20130206:101622,20130206:101623,1,0,0
Excel,20130206:101623,20130206:101624,0,0,1
FileOperation,20130206:101624,20130206:101625,0,0,1
FileOperation,20130206:101625,20130206:101626,1,0,2
FileOperation,20130206:101626,20130206:101627,1,0,0
FileOperation,20130206:101627,20130206:101630,1,0,1
Word&Powerpoint,20130206:101630,20130206:101632,1,0,0
Word&Powerpoint,20130206:101632,20130206:101634,1,0,0
FileOperation,20130206:101634,20130206:101635,0,0,1
Word&Powerpoint,20130206:101635,20130206:101637,0,0,0
Word&Powerpoint,20130206:101637,20130206:101644,0,0,3
FileOperation,20130206:101644,20130206:101645,0,0,4
FileOperation,20130206:101645,20130206:101647,1,0,0
FileOperation,20130206:101647,20130206:101648,1,0,0
Excel,20130206:101648,20130206:101653,2,0,8
Word&Powerpoint,20130206:101653,20130206:101657,0,0,2
Excel,20130206:101657,20130206:101701,2,0,6
FileOperation,20130206:101701,20130206:101702,0,0,2
Word&Powerpoint,20130206:101702,20130206:101709,0,0,2
Excel,20130206:101709,20130206:101717,1,0,16
Word&Powerpoint,20130206:101717,20130206:101718,1,0,0
Word&Powerpoint,20130206:101718,20130206:101719,0,0,1
FileOperation,20130206:101719,20130206:101720,0,0,3
FileOperation,20130206:101720,20130206:101722,3,0,1
Excel,20130206:101722,20130206:101724,0,0,0
Excel,20130206:101724,20130206:101727,0,0,2
Excel,20130206:101727,20130206:101731,1,0,7
FileOperation,20130206:101731,20130206:101732,0,0,2
Excel,20130206:101732,20130206:101734,1,0,2
Excel,20130206:101734,20130206:101819,11,1,16
Word&Powerpoint,20130206:101819,20130206:101820,1,0,0
Excel,20130206:101820,20130206:101822,1,0,0
Browser,20130206:101822,20130206:101825,1,0,0
Email,20130206:101825,20130206:101827,1,0,0
FileOperation,20130206:101829,20130206:101834,2,0,0
FileOperation,20130206:101834,20130206:101838,1,0,0
Browser,20130206:101838,20130206:101841,1,0,0
Browser,20130206:101841,20130206:101929,1,0,0
Email,20130206:101929,20130206:101931,1,0,0
Email,20130206:101931,20130206:101950,4,0,4
FileOperation,20130206:101950,20130206:101952,1,0,3
FileOperation,20130206:101952,20130206:101955,1,0,0
FileOperation,20130206:101955,20130206:102001,2,0,2
FileOperation,20130206:102001,20130206:102002,0,0,0
FileOperation,20130206:102002,20130206:102003,2,0,0
FileOperation,20130206:102003,20130206:102004,2,0,0
FileOperation,20130206:102004,20130206:102009,2,0,0
FileOperation,20130206:102009,20130206:102010,0,0,2
FileOperation,20130206:102010,20130206:102011,2,0,0
FileOperation,20130206:102011,20130206:102018,2,0,2
Email,20130206:102018,20130206:102031,2,0,0
Email,20130206:102031,20130206:102050,1,0,0
Email,20130206:102050,20130206:102118,3,0,133
FileOperation,20130206:102118,20130206:102119,0,0,0
FileOperation,20130206:102119,20130206:102122,2,0,3
FileOperation,20130206:102122,20130206:102126,5,0,0
FileOperation,20130206:102126,20130206:102128,2,0,0
FileOperation,20130206:102128,20130206:102130,2,0,0
FileOperation,20130206:102130,20130206:102131,2,0,0
FileOperation,20130206:102131,20130206:102135,4,0,0
FileOperation,20130206:102135,20130206:102136,1,0,0
FileOperation,20130206:102136,20130206:102137,2,0,0
FileOperation,20130206:102137,20130206:102138,2,0,0
FileOperation,20130206:102138,20130206:102139,0,0,2
FileOperation,20130206:102139,20130206:102140,2,0,0
FileOperation,20130206:102140,20130206:102157,7,1,32
FileOperation,20130206:102157,20130206:102158,0,0,0
Email,20130206:102158,20130206:102200,2,0,0
Email,20130206:102200,20130206:102202,0,0,2
FileOperation,20130206:102202,20130206:102208,1,0,9
FileOperation,20130206:102208,20130206:102210,1,0,2
Email,20130206:102210,20130206:102211,1,0,0
FileOperation,20130206:102211,20130206:102213,1,0,0
Email,20130206:102213,20130206:102221,4,1,0
Email,20130206:102221,20130206:102225,3,0,0
Email,20130206:102225,20130206:102232,2,1,0
Email,20130206:102232,20130206:102234,2,0,0
Email,20130206:102234,20130206:102240,3,0,0
FileOperation,20130206:102240,20130206:102242,1,0,2
FileOperation,20130206:102242,20130206:102248,2,0,7
FileOperation,20130206:102248,20130206:102249,0,0,1
FileOperation,20130206:102249,20130206:102257,3,0,7
Other,20130206:102257,20130206:102258,1,0,0
Other,20130206:102258,20130206:102301,0,0,9
Other,20130206:102301,20130206:102302,0,0,0
FileOperation,20130206:102302,20130206:102306,1,0,0
Excel,20130206:102306,20130206:102307,1,0,0
FileOperation,20130206:102307,20130206:102311,1,0,0
FileOperation,20130206:102311,20130206:102312,1,0,0
FileOperation,20130206:102312,20130206:102314,2,0,0
FileOperation,20130206:102314,20130206:102317,1,0,4
FileOperation,20130206:102317,20130206:102318,0,0,0
FileOperation,20130206:102318,20130206:102322,1,0,0
FileOperation,20130206:102322,20130206:102326,2,0,0
Other,20130206:102326,20130206:102327,1,0,0
Other,20130206:102327,20130206:102331,0,0,9
FileOperation,20130206:102331,20130206:102332,0,0,0
FileOperation,20130206:102332,20130206:102336,1,0,0
FileOperation,20130206:102336,20130206:102339,1,0,0
FileOperation,20130206:102339,20130206:102341,1,0,2
FileOperation,20130206:102341,20130206:102343,0,0,2
FileOperation,20130206:102343,20130206:102349,0,0,0
FileOperation,20130206:102351,20130206:102356,4,0,2
Email,20130206:102356,20130206:102452,2,0,111
Email,20130206:102452,20130206:102502,0,0,4
Email,20130206:102502,20130206:102524,0,0,3
Email,20130206:102524,20130206:102528,0,0,9
Email,20130206:102528,20130206:102529,0,0,8
Email,20130206:102529,20130206:102530,0,0,8
Email,20130206:102530,20130206:102531,0,0,7
Email,20130206:102531,20130206:102532,0,0,3
Email,20130206:102532,20130206:102533,0,0,5
Email,20130206:102533,20130206:102540,2,0,5
Email,20130206:102540,20130206:102541,1,0,0
Email,20130206:102541,20130206:102542,2,0,0
Email,20130206:102542,20130206:102543,0,0,0
Email,20130206:102543,20130206:102546,2,0,0
Email,20130206:102546,20130206:102548,1,0,0
Email,20130206:102548,20130206:102549,1,0,0
Email,20130206:102549,20130206:102553,2,0,0
FileOperation,20130206:102553,20130206:102555,2,0,0
Email,20130206:102555,20130206:102556,1,0,0
Other,20130206:102556,20130206:102558,2,0,0
Email,20130206:102558,20130206:102559,1,0,0
Excel,20130206:102601,20130206:102603,1,0,0
Excel,20130206:102603,20130206:102616,1,0,0
FileOperation,20130206:102616,20130206:102618,2,0,0
Excel,20130206:102618,20130206:102621,2,0,0
Excel,20130206:102621,20130206:102645,3,0,2
FileOperation,20130206:102650,20130206:102651,1,0,0
