"","打鍵回数","左クリック","右クリック"
"2013年02月08日06時50分","0","0","0"
"2013年02月08日06時55分","0","0","0"
"2013年02月08日07時00分","0","0","0"
"2013年02月08日07時05分","0","0","0"
"2013年02月08日07時10分","0","0","0"
"2013年02月08日07時15分","0","0","0"
"2013年02月08日07時20分","0","0","0"
"2013年02月08日07時25分","0","0","0"
"2013年02月08日07時30分","0","0","0"
"2013年02月08日07時35分","0","0","0"
"2013年02月08日07時40分","0","0","0"
"2013年02月08日07時45分","0","0","0"
"2013年02月08日07時50分","0","0","0"
"2013年02月08日07時55分","0","0","0"
"2013年02月08日08時00分","0","0","0"
"2013年02月08日08時05分","0","0","0"
"2013年02月08日08時10分","0","0","0"
"2013年02月08日08時15分","0","0","0"
"2013年02月08日08時20分","0","0","0"
"2013年02月08日08時25分","0","0","0"
"2013年02月08日08時30分","0","0","0"
"2013年02月08日08時35分","0","0","0"
"2013年02月08日08時40分","0","0","0"
"2013年02月08日08時45分","0","0","0"
"2013年02月08日08時50分","11","0","0"
"2013年02月08日08時55分","14","0","0"
"2013年02月08日09時00分","382","0","0"
"2013年02月08日09時05分","31","0","0"
"2013年02月08日09時10分","6","0","0"
"2013年02月08日09時15分","0","0","0"
"2013年02月08日09時20分","0","0","0"
