"","ブラウザ - 左クリック","メール - 左クリック","ファイル操作 - 左クリック","調査　 - 左クリック","ＳＱＬサーバ　 - 左クリック","エクセル - 左クリック","ワード・パワポ - 左クリック","文書閲覧　 - 左クリック","テスト　 - 左クリック","プログラミング・デバッグ - 左クリック","登録外 - 左クリック"
"2013年02月05日20時25分","0","0","4","15","101","0","0","0","0","0","0"
"2013年02月05日20時30分","0","0","0","15","0","0","0","0","0","0","0"
"2013年02月05日20時35分","0","0","14","20","65","0","0","0","0","0","0"
"2013年02月05日20時40分","0","0","4","0","165","0","0","0","0","0","0"
"2013年02月05日20時45分","0","0","1","9","70","0","0","0","0","0","0"
"2013年02月05日20時50分","0","0","0","0","60","0","0","0","0","0","0"
"2013年02月05日20時55分","0","0","0","9","13","0","0","0","0","0","0"
"2013年02月05日21時00分","0","0","0","0","43","0","0","0","0","0","0"
"2013年02月05日21時05分","0","0","0","36","18","0","0","0","0","0","0"
"2013年02月05日21時10分","0","0","0","11","93","0","0","0","13","0","0"
"2013年02月05日21時15分","0","0","2","0","61","0","0","0","0","0","0"
"2013年02月05日21時20分","0","0","7","12","0","0","0","0","0","0","0"
"2013年02月05日21時25分","0","0","0","31","0","0","0","0","0","0","1"
"2013年02月05日21時30分","8","0","15","32","0","0","0","0","27","0","14"
"2013年02月05日21時35分","0","0","5","52","0","0","0","0","12","0","0"
"2013年02月05日21時40分","4","0","4","15","4","0","0","0","42","0","0"
"2013年02月05日21時45分","11","0","3","0","0","0","0","0","46","0","0"
"2013年02月05日21時50分","1","0","20","0","0","0","0","0","45","0","0"
"2013年02月05日21時55分","0","10","48","0","0","0","0","0","21","0","4"
"2013年02月05日22時00分","0","0","94","6","0","0","0","0","6","0","0"
"2013年02月05日22時05分","0","0","23","29","7","0","0","0","0","0","6"
"2013年02月05日22時10分","0","0","22","34","41","0","0","0","0","0","7"
"2013年02月05日22時15分","0","0","0","0","20","0","0","0","0","0","0"
"2013年02月05日22時20分","0","2","12","15","36","0","0","0","0","0","0"
"2013年02月05日22時25分","0","0","17","36","51","0","0","0","0","0","2"
"2013年02月05日22時30分","0","0","18","16","87","0","0","0","0","0","0"
"2013年02月05日22時35分","0","0","73","6","5","0","0","0","0","0","0"
"2013年02月05日22時40分","13","1","5","12","0","3","0","0","7","0","6"
"2013年02月05日22時45分","2","0","1","3","6","56","0","0","57","0","7"
"2013年02月05日22時50分","17","0","1","0","0","45","0","0","3","0","1"
"2013年02月05日22時55分","24","11","13","11","0","3","0","0","0","0","0"
"2013年02月05日23時00分","13","2","19","0","4","0","0","0","0","0","0"
"2013年02月05日23時05分","4","0","0","0","58","0","0","0","0","0","0"
"2013年02月05日23時10分","19","1","5","0","110","0","0","0","0","0","3"
