"","ブラウザ - 打鍵回数","メール - 打鍵回数","ファイル操作 - 打鍵回数","調査　 - 打鍵回数","ＳＱＬサーバ　 - 打鍵回数","エクセル - 打鍵回数","ワード・パワポ - 打鍵回数","文書閲覧　 - 打鍵回数","テスト　 - 打鍵回数","プログラミング・デバッグ - 打鍵回数","登録外 - 打鍵回数"
"2013年02月05日14時45分","0","0","41","14","0","0","0","0","44","0","0"
"2013年02月05日14時50分","1","0","20","0","0","0","0","1","8","0","14"
"2013年02月05日14時55分","0","0","0","0","0","0","0","0","2","0","0"
"2013年02月05日15時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日15時05分","11","0","50","11","0","0","0","0","0","0","0"
"2013年02月05日15時10分","0","0","8","0","0","2","0","0","0","0","0"
"2013年02月05日15時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日15時20分","0","0","1","0","0","51","0","0","1","0","0"
"2013年02月05日15時25分","1","0","0","0","0","0","0","0","0","0","1"
"2013年02月05日15時30分","3","0","0","0","0","0","0","0","0","39","12"
"2013年02月05日15時35分","0","0","1","0","0","0","0","0","17","7","51"
"2013年02月05日15時40分","0","0","0","0","0","0","0","0","0","24","0"
"2013年02月05日15時45分","0","0","0","0","0","0","0","0","0","17","0"
"2013年02月05日15時50分","0","0","0","0","0","0","0","0","0","3","0"
"2013年02月05日15時55分","0","0","0","0","0","0","0","0","2","0","0"
"2013年02月05日16時00分","0","0","8","0","0","0","0","0","1","13","0"
"2013年02月05日16時05分","0","0","26","0","0","0","0","0","0","0","0"
"2013年02月05日16時10分","0","0","0","3","0","0","0","0","0","0","0"
"2013年02月05日16時15分","0","0","7","0","0","0","0","0","43","51","16"
"2013年02月05日16時20分","0","0","0","0","0","0","0","0","1","133","0"
"2013年02月05日16時25分","0","0","0","0","0","0","0","0","31","24","33"
"2013年02月05日16時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日16時35分","16","0","6","0","0","0","0","0","0","0","0"
"2013年02月05日16時40分","0","0","2","25","0","2","0","0","3","0","52"
"2013年02月05日16時45分","0","0","35","4","0","0","0","0","3","0","17"
"2013年02月05日16時50分","0","0","3","4","0","0","0","0","0","0","0"
"2013年02月05日16時55分","0","0","8","0","0","0","0","0","0","0","0"
"2013年02月05日17時00分","0","0","12","4","0","0","0","0","0","0","0"
"2013年02月05日17時05分","0","0","2","0","0","5","0","0","0","0","34"
"2013年02月05日17時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日17時15分","0","0","0","0","0","2","0","0","0","0","20"
"2013年02月05日17時20分","27","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日17時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日17時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日17時35分","0","0","6","0","0","0","0","0","0","0","0"
"2013年02月05日17時40分","0","0","7","0","0","0","0","0","0","0","0"
"2013年02月05日17時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日17時50分","26","21","0","2","0","0","0","0","3","0","21"
