"","ブラウザ","メール","ファイル操作","調査　","ＳＱＬサーバ　","エクセル","ワード・パワポ","文書閲覧　","テスト　","プログラミング・デバッグ","登録外"
"2013年02月07日16時20分","20","0","79","0","0","0","0","0","198","0","0"
"2013年02月07日16時25分","0","0","0","0","0","0","0","0","300","0","0"
"2013年02月07日16時30分","0","0","0","0","0","0","0","0","300","0","0"
"2013年02月07日16時35分","0","0","0","0","0","0","0","0","300","0","0"
"2013年02月07日16時40分","0","0","0","0","0","0","0","0","300","0","0"
"2013年02月07日16時45分","0","0","0","0","0","0","0","0","300","0","0"
"2013年02月07日16時50分","0","0","0","0","0","0","0","0","300","0","0"
"2013年02月07日16時55分","1","0","1","0","0","210","0","0","87","0","0"
"2013年02月07日17時00分","8","0","1","0","0","286","0","0","0","0","0"
"2013年02月07日17時05分","0","0","0","0","0","6","0","0","121","0","0"
"2013年02月07日17時10分","0","0","0","0","0","136","0","0","12","0","0"
"2013年02月07日17時15分","0","0","0","0","0","46","0","0","117","0","0"
"2013年02月07日17時20分","0","0","0","0","0","0","0","0","237","0","0"
"2013年02月07日17時25分","0","0","0","0","0","0","0","0","300","0","0"
"2013年02月07日17時30分","0","0","0","0","0","0","0","0","300","0","0"
"2013年02月07日17時35分","13","0","0","0","0","0","0","0","285","0","0"
"2013年02月07日17時40分","4","0","0","0","0","0","0","0","262","0","33"
"2013年02月07日17時45分","0","0","0","0","0","0","0","0","300","0","0"
"2013年02月07日17時50分","0","0","0","0","0","0","0","0","300","0","0"
"2013年02月07日17時55分","0","0","0","0","0","0","0","0","300","0","0"
"2013年02月07日18時00分","0","0","0","0","0","0","0","0","300","0","0"
"2013年02月07日18時05分","0","0","0","0","0","0","0","0","300","0","0"
"2013年02月07日18時10分","0","0","0","0","0","0","0","0","60","0","0"
"2013年02月07日18時15分","0","0","25","0","0","0","0","0","29","0","56"
"2013年02月07日18時20分","0","0","23","0","0","0","0","0","123","0","151"
"2013年02月07日18時25分","0","0","0","0","0","0","0","0","300","0","0"
"2013年02月07日18時30分","0","0","27","0","0","0","0","0","127","0","143"
"2013年02月07日18時35分","3","0","8","0","0","0","0","0","143","0","143"
"2013年02月07日18時40分","0","0","0","0","0","0","0","0","300","0","0"
"2013年02月07日18時45分","5","0","1","0","0","0","0","0","292","0","0"
"2013年02月07日18時50分","34","0","2","0","0","1","0","0","260","0","0"
"2013年02月07日18時55分","0","0","0","0","0","300","0","0","0","0","0"
"2013年02月07日19時00分","164","0","5","0","0","128","0","0","0","0","0"
"2013年02月07日19時05分","84","20","8","0","0","0","0","0","4","0","180"
"2013年02月08日09時05分","41","0","154","61","0","0","0","0","0","0","214"
"2013年02月08日09時10分","11","105","76","2","0","90","0","0","9","0","2"
"2013年02月08日09時15分","34","39","68","141","0","11","0","0","0","0","0"
"2013年02月08日09時20分","0","158","0","0","0","0","0","0","0","0","0"
"2013年02月08日09時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日09時30分","1","14","52","85","0","0","0","0","1","0","98"
"2013年02月08日09時35分","0","59","22","16","0","0","0","0","81","0","115"
"2013年02月08日09時40分","0","0","0","0","0","0","0","0","300","0","0"
"2013年02月08日09時45分","10","13","66","0","0","156","0","0","43","0","6"
"2013年02月08日09時50分","0","0","211","0","0","86","0","0","0","0","0"
"2013年02月08日09時55分","0","0","83","0","0","40","0","0","28","0","102"
"2013年02月08日10時00分","0","0","0","0","0","148","0","0","53","0","96"
"2013年02月08日10時05分","0","0","0","0","0","165","0","0","131","0","0"
"2013年02月08日10時10分","0","0","0","0","0","285","0","0","12","0","0"
"2013年02月08日10時15分","0","0","0","0","0","0","0","0","237","0","59"
"2013年02月08日10時20分","178","0","0","0","0","0","0","0","121","0","0"
"2013年02月08日10時25分","43","0","0","0","0","12","0","0","243","0","0"
"2013年02月08日10時30分","0","0","0","0","0","0","0","0","300","0","0"
"2013年02月08日10時35分","0","46","0","0","0","25","0","0","191","0","0"
"2013年02月08日10時40分","15","21","1","0","0","168","0","0","4","0","39"
"2013年02月08日10時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日10時50分","1","0","157","0","0","28","0","0","0","0","51"
"2013年02月08日10時55分","0","0","111","0","0","130","0","0","0","55","0"
"2013年02月08日11時00分","0","0","0","0","0","0","0","0","0","300","0"
"2013年02月08日11時05分","0","0","36","0","0","91","0","0","0","171","0"
"2013年02月08日11時10分","14","0","2","36","0","244","0","0","0","0","0"
"2013年02月08日11時15分","0","0","0","0","0","300","0","0","0","0","0"
"2013年02月08日11時20分","43","0","9","4","0","200","0","0","3","1","30"
"2013年02月08日11時25分","26","0","0","0","0","263","0","0","0","0","5"
"2013年02月08日11時30分","20","0","0","0","0","277","0","0","0","0","0"
"2013年02月08日11時35分","175","0","0","0","0","1","0","0","0","0","0"
"2013年02月08日11時40分","10","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日11時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日11時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日11時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日12時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日12時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日12時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日12時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日12時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日12時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日12時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日12時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日12時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日12時45分","23","34","11","0","0","2","0","0","0","0","0"
"2013年02月08日12時50分","0","8","17","56","0","0","0","0","77","0","136"
"2013年02月08日12時55分","0","0","0","0","0","0","0","0","0","0","283"
"2013年02月08日13時00分","0","0","0","0","0","0","0","0","0","0","300"
"2013年02月08日13時05分","0","0","0","0","0","0","0","0","0","0","285"
"2013年02月08日13時10分","0","14","31","0","0","0","0","0","13","0","239"
"2013年02月08日13時15分","0","0","59","2","0","0","0","0","116","0","118"
"2013年02月08日13時20分","0","0","15","0","0","0","0","0","21","0","230"
"2013年02月08日13時25分","0","0","0","0","0","0","0","0","0","0","241"
"2013年02月08日13時30分","0","0","0","0","0","0","0","0","62","0","179"
"2013年02月08日13時35分","0","0","19","0","0","0","0","0","49","0","230"
"2013年02月08日13時40分","0","0","0","0","0","0","0","0","0","0","3"
"2013年02月08日13時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日13時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日13時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日14時00分","3","1","4","0","0","0","0","0","115","0","106"
"2013年02月08日14時05分","99","0","0","0","0","0","0","0","7","0","192"
"2013年02月08日14時10分","46","0","0","0","0","0","0","0","10","0","242"
"2013年02月08日14時15分","0","0","0","0","0","0","0","0","0","0","115"
"2013年02月08日14時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日14時25分","15","0","30","5","0","0","0","0","8","0","77"
"2013年02月08日14時30分","12","0","0","3","0","170","0","0","0","0","86"
"2013年02月08日14時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日14時40分","0","0","32","0","0","0","0","0","0","0","97"
"2013年02月08日14時45分","0","0","0","0","0","0","0","0","0","0","300"
"2013年02月08日14時50分","0","0","0","0","0","0","0","0","0","0","190"
"2013年02月08日14時55分","0","35","0","0","0","0","0","0","0","0","259"
"2013年02月08日15時00分","0","0","0","0","0","0","0","0","0","0","300"
"2013年02月08日15時05分","0","0","0","0","0","0","0","0","0","0","142"
"2013年02月08日15時10分","0","0","0","0","0","0","0","0","0","0","289"
"2013年02月08日15時15分","0","0","0","0","0","0","0","0","0","0","157"
"2013年02月08日15時20分","27","2","1","0","0","0","0","0","0","0","12"
"2013年02月08日15時25分","0","0","0","0","0","0","0","0","0","0","300"
"2013年02月08日15時30分","0","0","0","0","0","132","0","0","0","0","83"
"2013年02月08日15時35分","0","0","0","0","0","170","0","0","0","0","0"
"2013年02月08日15時40分","0","0","0","0","0","170","0","0","0","0","0"
"2013年02月08日15時45分","207","51","0","0","0","28","0","0","0","0","8"
"2013年02月08日15時50分","140","0","0","0","0","37","0","0","0","0","119"
"2013年02月08日15時55分","1","0","0","0","0","208","0","0","0","0","59"
"2013年02月08日16時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日16時05分","2","0","0","0","0","238","0","0","0","0","0"
"2013年02月08日16時10分","0","0","0","0","0","291","0","0","0","0","7"
"2013年02月08日16時15分","0","0","0","0","0","56","0","0","0","0","242"
"2013年02月08日16時20分","0","0","0","0","0","0","0","0","0","0","300"
"2013年02月08日16時25分","0","0","0","0","0","0","0","0","0","0","300"
"2013年02月08日16時30分","0","30","0","0","0","0","0","0","0","0","269"
"2013年02月08日16時35分","0","0","0","0","0","0","0","0","0","0","54"
"2013年02月08日16時40分","0","0","0","0","0","0","0","0","0","0","38"
"2013年02月08日16時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日16時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日16時55分","0","0","22","0","0","0","0","0","0","0","34"
"2013年02月08日17時00分","0","0","25","0","0","0","0","0","166","0","106"
"2013年02月08日17時05分","140","0","0","0","0","0","0","0","62","0","20"
"2013年02月08日17時10分","4","0","3","0","0","0","0","0","7","0","6"
"2013年02月08日17時15分","0","51","6","0","0","9","0","0","151","0","79"
"2013年02月08日17時20分","0","235","54","0","0","0","0","0","4","0","5"
"2013年02月08日17時25分","0","176","0","0","0","0","0","0","116","0","6"
"2013年02月08日17時30分","27","0","0","0","0","0","0","0","146","0","124"
"2013年02月08日17時35分","4","0","4","10","0","0","0","0","49","0","230"
"2013年02月08日17時40分","0","0","26","6","0","0","0","0","100","0","162"
"2013年02月08日17時45分","0","0","42","1","0","0","0","0","190","0","62"
"2013年02月08日17時50分","0","0","0","0","0","0","0","0","263","0","33"
"2013年02月08日17時55分","48","0","20","0","0","0","0","84","143","0","2"
"2013年02月08日18時00分","0","0","0","0","0","0","0","179","0","0","0"
"2013年02月08日18時05分","11","0","10","3","0","18","0","34","0","0","9"
"2013年02月08日18時10分","0","0","0","0","0","297","0","0","0","0","0"
"2013年02月08日18時15分","184","0","0","0","0","94","0","0","0","0","0"
"2013年02月08日18時20分","0","0","0","0","0","195","0","0","0","0","0"
"2013年02月08日18時25分","0","0","25","0","0","220","0","0","0","0","52"
"2013年02月08日18時30分","0","0","0","0","0","297","0","0","0","0","0"
"2013年02月08日18時35分","0","0","11","0","0","278","0","0","0","0","9"
"2013年02月08日18時40分","123","43","0","0","0","131","0","0","0","0","0"
"2013年02月08日18時45分","28","0","0","0","0","271","0","0","0","0","0"
"2013年02月08日18時50分","22","0","22","0","0","244","0","0","0","0","7"
"2013年02月08日18時55分","0","0","0","0","0","298","0","0","0","0","0"
"2013年02月08日19時00分","30","0","0","0","0","267","0","0","0","0","0"
"2013年02月08日19時05分","0","0","0","0","0","162","0","0","0","0","4"
"2013年02月08日19時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月08日19時15分","0","0","0","0","0","0","0","0","180","0","0"
"2013年02月08日19時20分","0","0","0","0","0","0","0","0","231","0","0"
"2013年02月08日19時25分","0","0","0","0","0","0","0","0","121","0","0"
"2013年02月08日19時30分","10","10","0","0","0","256","0","0","0","0","12"
"2013年02月08日19時35分","121","0","0","0","0","0","0","0","0","0","175"
"2013年02月08日19時40分","32","0","0","0","0","218","0","0","0","0","45"
"2013年02月08日19時45分","73","0","58","0","0","2","0","0","0","0","163"
"2013年02月08日19時50分","102","0","25","0","0","102","0","0","3","0","64"
"2013年02月12日09時05分","67","25","57","0","0","164","0","0","0","0","13"
"2013年02月12日09時10分","0","0","53","0","0","243","0","0","0","0","0"
"2013年02月12日09時15分","0","0","0","0","0","111","0","0","0","0","0"
"2013年02月12日09時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月12日09時25分","0","122","0","0","0","139","0","0","0","0","0"
"2013年02月12日09時30分","0","0","55","0","0","240","0","0","0","0","2"
"2013年02月12日09時35分","0","0","0","0","0","168","0","0","0","0","130"
"2013年02月12日09時40分","0","0","7","48","0","149","0","0","41","0","51"
"2013年02月12日09時45分","0","0","0","25","0","0","0","0","230","0","42"
"2013年02月12日09時50分","0","0","3","205","0","20","0","0","70","0","0"
"2013年02月12日09時55分","0","0","187","64","0","0","41","0","1","0","0"
