"","ブラウザ","メール","ファイル操作","調査　","ＳＱＬサーバ　","エクセル","ワード・パワポ","文書閲覧　","テスト　","プログラミング・デバッグ","登録外"
"2013年02月07日10時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日10時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日10時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時05分","0","99","1","0","0","0","0","0","0","0","0"
"2013年02月07日13時10分","57","240","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時15分","267","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時20分","178","97","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時25分","0","231","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時30分","0","48","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時35分","0","191","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時45分","28","25","12","0","0","179","0","0","0","0","0"
"2013年02月07日13時50分","91","116","1","0","0","87","0","0","0","0","3"
"2013年02月07日13時55分","0","103","0","0","0","0","0","0","0","0","0"
"2013年02月07日14時00分","261","38","0","0","0","0","0","0","0","0","0"
"2013年02月07日14時05分","124","7","7","0","0","0","0","0","1","0","137"
"2013年02月07日14時10分","5","56","79","0","0","86","0","0","0","0","70"
"2013年02月07日14時15分","0","125","1","0","0","170","0","0","0","0","2"
"2013年02月07日14時20分","0","274","1","0","0","20","0","0","0","0","4"
"2013年02月07日14時25分","0","0","0","0","0","300","0","0","0","0","0"
"2013年02月07日14時30分","0","49","0","0","0","249","0","0","0","0","0"
"2013年02月07日14時35分","184","0","6","0","0","109","0","0","0","0","0"
"2013年02月07日14時40分","58","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日14時45分","1","46","0","0","0","0","0","0","0","0","0"
"2013年02月07日14時50分","0","136","0","0","0","0","0","0","0","0","0"
"2013年02月07日14時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日15時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日15時05分","70","24","5","0","0","0","0","0","0","0","0"
"2013年02月07日15時10分","142","84","8","0","0","63","0","0","0","0","0"
"2013年02月07日15時15分","21","89","168","0","0","16","0","0","0","0","3"
