"","ブラウザ - 打鍵回数","メール - 打鍵回数","ファイル操作 - 打鍵回数","調査　 - 打鍵回数","ＳＱＬサーバ　 - 打鍵回数","エクセル - 打鍵回数","ワード・パワポ - 打鍵回数","文書閲覧　 - 打鍵回数","テスト　 - 打鍵回数","プログラミング・デバッグ - 打鍵回数","登録外 - 打鍵回数"
"2013年02月07日09時20分","0","0","0","2","0","0","0","0","0","0","56"
"2013年02月07日09時25分","0","0","0","6","0","0","0","0","0","0","19"
"2013年02月07日09時30分","32","0","0","0","0","0","0","0","0","0","30"
"2013年02月07日09時35分","10","0","0","11","0","0","0","0","0","0","24"
"2013年02月07日09時40分","0","0","0","81","0","0","0","0","0","0","28"
"2013年02月07日09時45分","0","0","0","31","0","0","0","0","0","0","37"
"2013年02月07日09時50分","0","0","0","0","0","0","0","0","0","0","141"
"2013年02月07日09時55分","0","0","0","2","0","0","0","0","0","0","19"
"2013年02月07日10時00分","57","0","0","0","0","0","0","0","0","0","61"
"2013年02月07日10時05分","0","0","0","6","0","0","0","0","0","0","63"
"2013年02月07日10時10分","19","0","0","0","0","0","0","0","0","0","99"
"2013年02月07日10時15分","3","0","0","2","0","2","0","0","0","0","16"
"2013年02月07日10時20分","0","0","0","0","0","0","0","0","0","0","15"
"2013年02月07日10時25分","0","0","0","0","0","0","0","0","0","0","114"
"2013年02月07日10時30分","0","0","7","7","0","0","0","0","0","0","81"
"2013年02月07日10時35分","0","0","0","0","0","0","0","0","0","0","56"
"2013年02月07日10時40分","0","0","0","0","0","0","0","0","0","0","76"
"2013年02月07日10時45分","0","0","0","2","0","0","0","0","0","0","148"
"2013年02月07日10時50分","0","0","0","7","0","0","0","0","0","0","49"
"2013年02月07日10時55分","0","0","0","13","0","0","0","0","0","0","43"
"2013年02月07日11時00分","9","0","0","20","0","0","0","0","0","0","12"
"2013年02月07日11時05分","0","0","0","0","0","0","0","0","0","0","71"
"2013年02月07日11時10分","0","0","0","2","0","0","0","0","0","0","48"
"2013年02月07日11時15分","0","0","0","4","0","0","0","0","23","0","45"
"2013年02月07日11時20分","0","0","0","52","0","0","0","0","0","0","9"
"2013年02月07日11時25分","0","0","0","2","0","0","0","0","0","0","146"
"2013年02月07日11時30分","0","0","2","0","0","0","0","0","0","0","80"
"2013年02月07日11時35分","0","0","0","0","0","0","0","0","0","0","93"
"2013年02月07日11時40分","0","0","0","0","0","0","0","0","0","0","64"
"2013年02月07日11時45分","0","0","0","0","0","0","0","0","0","0","49"
"2013年02月07日11時50分","0","0","0","0","0","0","0","0","5","0","22"
"2013年02月07日11時55分","0","0","0","0","0","0","0","0","0","0","54"
"2013年02月07日12時00分","0","0","0","0","0","0","0","0","15","0","14"
"2013年02月07日12時05分","0","0","0","0","0","0","0","0","10","0","27"
"2013年02月07日12時10分","0","0","1","0","0","0","0","0","10","0","16"
"2013年02月07日12時15分","0","0","0","0","0","0","0","0","0","0","32"
