"","打鍵回数","左クリック","右クリック"
"2013年02月08日17時20分","2","0","0"
"2013年02月08日17時25分","100","0","0"
"2013年02月08日17時30分","0","0","0"
"2013年02月08日17時35分","0","0","0"
"2013年02月08日17時40分","8","0","0"
"2013年02月08日17時45分","6","0","0"
"2013年02月08日17時50分","1","0","0"
"2013年02月08日17時55分","0","0","0"
"2013年02月08日18時00分","0","0","0"
"2013年02月08日18時05分","0","0","0"
"2013年02月08日18時10分","3","0","0"
"2013年02月08日18時20分","2","1","0"
"2013年02月08日18時25分","12","0","0"
"2013年02月08日18時30分","15","0","0"
"2013年02月12日08時55分","10","24","0"
"2013年02月12日09時00分","0","13","0"
"2013年02月12日09時05分","0","14","0"
"2013年02月12日09時10分","0","1","0"
"2013年02月12日09時15分","0","19","0"
"2013年02月12日09時20分","8","29","0"
"2013年02月12日09時25分","22","43","2"
"2013年02月12日09時30分","0","21","0"
"2013年02月12日09時35分","4","99","0"
"2013年02月12日09時40分","4","92","0"
"2013年02月12日09時45分","7","0","0"
"2013年02月12日09時50分","1","0","0"
"2013年02月12日09時55分","1","0","0"
"2013年02月12日10時00分","0","0","0"
"2013年02月12日10時05分","1","0","0"
"2013年02月12日10時10分","37","0","0"
"2013年02月12日10時15分","94","0","0"
"2013年02月12日10時20分","10","0","0"
"2013年02月12日10時25分","0","0","0"
"2013年02月12日10時30分","7","0","0"
"2013年02月12日10時35分","11","0","0"
"2013年02月12日10時40分","25","0","0"
"2013年02月12日10時45分","0","0","0"
"2013年02月12日10時50分","4","0","0"
"2013年02月12日10時55分","11","0","0"
"2013年02月12日11時00分","1","0","0"
"2013年02月12日11時05分","0","0","0"
"2013年02月12日11時10分","15","0","0"
"2013年02月12日11時15分","14","0","0"
"2013年02月12日11時20分","5","0","0"
"2013年02月12日11時25分","1","0","0"
"2013年02月12日11時30分","10","0","0"
"2013年02月12日11時35分","22","0","0"
"2013年02月12日11時40分","0","0","0"
"2013年02月12日11時45分","0","0","0"
"2013年02月12日11時50分","0","0","0"
"2013年02月12日11時55分","0","0","0"
"2013年02月12日12時00分","0","0","0"
"2013年02月12日12時05分","0","0","0"
"2013年02月12日12時10分","0","0","0"
"2013年02月12日12時15分","0","0","0"
"2013年02月12日12時20分","0","0","0"
"2013年02月12日12時25分","0","0","0"
"2013年02月12日12時30分","0","0","0"
