"","ブラウザ - 左クリック","メール - 左クリック","ファイル操作 - 左クリック","調査　 - 左クリック","ＳＱＬサーバ　 - 左クリック","エクセル - 左クリック","ワード・パワポ - 左クリック","文書閲覧　 - 左クリック","テスト　 - 左クリック","プログラミング・デバッグ - 左クリック","登録外 - 左クリック"
"2013年02月07日10時45分","0","0","9","3","0","7","0","0","2","0","1"
"2013年02月07日10時50分","3","5","1","0","0","6","0","0","0","0","3"
"2013年02月07日10時55分","3","0","39","3","0","1","0","0","4","0","1"
"2013年02月07日11時00分","0","0","21","5","0","0","0","0","2","0","3"
"2013年02月07日11時05分","4","0","3","0","0","0","0","0","7","0","11"
"2013年02月07日11時10分","4","0","0","0","0","0","0","0","1","0","0"
"2013年02月07日11時15分","10","6","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時20分","4","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時25分","7","0","2","0","0","0","0","0","1","0","0"
"2013年02月07日11時30分","10","0","0","0","0","0","0","0","15","0","0"
"2013年02月07日11時35分","12","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時40分","13","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時45分","12","0","1","15","0","0","0","0","9","0","0"
"2013年02月07日11時50分","6","0","7","56","0","0","0","0","45","0","9"
"2013年02月07日11時55分","2","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時05分","1","6","1","0","0","3","0","0","4","0","3"
"2013年02月07日12時10分","5","9","16","3","0","0","0","0","0","0","2"
"2013年02月07日12時15分","3","4","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時20分","2","1","1","0","0","0","0","0","4","0","15"
"2013年02月07日12時25分","3","3","0","0","0","0","0","0","11","0","9"
"2013年02月07日12時30分","2","1","19","0","0","51","0","0","0","0","1"
"2013年02月07日13時20分","0","3","2","0","0","0","0","0","0","0","0"
"2013年02月07日13時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日13時30分","3","4","9","0","0","0","0","0","0","0","3"
"2013年02月07日13時35分","0","0","0","0","0","0","0","0","0","0","1"
"2013年02月07日13時40分","11","0","1","0","0","0","0","0","0","0","0"
"2013年02月07日13時45分","14","0","10","0","0","12","0","0","0","0","0"
"2013年02月07日13時50分","0","0","11","0","0","46","0","0","0","0","0"
"2013年02月07日13時55分","0","0","2","0","0","102","0","0","0","0","0"
"2013年02月07日14時00分","0","0","0","0","0","34","0","0","0","0","0"
"2013年02月07日14時05分","0","2","4","0","0","49","0","0","0","0","2"
"2013年02月07日14時10分","0","0","11","0","0","28","0","0","0","0","0"
"2013年02月07日14時15分","0","0","13","0","0","75","3","0","0","0","0"
"2013年02月07日14時20分","0","0","9","0","0","80","0","0","0","0","0"
"2013年02月07日14時25分","0","0","5","0","0","64","0","0","0","0","0"
"2013年02月07日14時30分","0","0","6","0","0","30","0","0","0","0","0"
"2013年02月07日14時35分","1","0","3","0","0","56","0","0","0","0","4"
"2013年02月07日14時40分","0","0","4","0","0","64","0","0","0","0","0"
"2013年02月07日14時45分","0","0","4","0","0","17","0","0","0","0","0"
"2013年02月07日14時50分","0","0","3","0","0","31","0","0","0","0","0"
