"","打鍵回数","左クリック","右クリック"
"2013年02月07日13時00分","47","64","1"
"2013年02月07日13時05分","45","41","2"
"2013年02月07日13時10分","112","16","3"
"2013年02月07日13時15分","85","0","0"
"2013年02月07日13時20分","51","29","0"
"2013年02月07日13時25分","0","27","1"
"2013年02月07日13時30分","0","10","0"
"2013年02月07日13時35分","0","52","5"
"2013年02月07日13時40分","0","9","1"
"2013年02月07日13時45分","0","48","1"
"2013年02月07日13時50分","0","29","2"
"2013年02月07日13時55分","0","25","3"
"2013年02月07日14時00分","0","8","2"
"2013年02月07日14時05分","2","27","2"
"2013年02月07日14時10分","0","38","5"
"2013年02月07日14時15分","57","34","2"
"2013年02月07日14時20分","22","18","1"
"2013年02月07日14時25分","0","34","0"
"2013年02月07日14時30分","74","6","0"
"2013年02月07日14時35分","43","32","2"
"2013年02月07日14時40分","21","30","0"
"2013年02月07日14時45分","13","34","2"
"2013年02月07日14時50分","11","91","7"
"2013年02月07日14時55分","60","72","4"
"2013年02月07日15時00分","5","32","3"
"2013年02月07日15時05分","0","26","1"
"2013年02月07日15時10分","1","60","5"
"2013年02月07日15時15分","3","39","3"
"2013年02月07日15時20分","20","31","1"
"2013年02月07日15時25分","29","28","5"
"2013年02月07日15時30分","3","41","1"
"2013年02月07日15時35分","1","20","0"
"2013年02月07日15時40分","35","19","1"
"2013年02月07日15時45分","20","7","0"
"2013年02月07日15時50分","0","23","2"
"2013年02月07日15時55分","1","32","0"
"2013年02月07日16時00分","0","3","0"
"2013年02月07日16時05分","0","16","1"
"2013年02月07日16時10分","0","4","0"
"2013年02月07日16時15分","0","21","0"
"2013年02月07日16時20分","0","29","4"
"2013年02月07日16時25分","7","34","2"
"2013年02月07日16時30分","0","35","0"
"2013年02月07日16時35分","0","4","0"
"2013年02月07日16時40分","0","22","2"
"2013年02月07日16時45分","0","42","4"
"2013年02月07日16時50分","0","50","2"
"2013年02月07日16時55分","31","75","2"
"2013年02月07日17時00分","101","61","7"
"2013年02月07日17時05分","5","41","3"
"2013年02月07日17時10分","1","21","1"
"2013年02月07日17時15分","49","10","3"
"2013年02月07日17時20分","74","19","1"
"2013年02月07日17時25分","7","53","0"
"2013年02月07日17時30分","0","28","0"
"2013年02月07日17時35分","22","51","1"
"2013年02月07日17時40分","64","30","0"
"2013年02月07日17時45分","0","0","0"
"2013年02月07日17時50分","5","5","1"
"2013年02月07日17時55分","6","35","5"
"2013年02月07日18時00分","3","42","0"
"2013年02月07日18時05分","1","50","0"
"2013年02月07日18時10分","36","66","7"
"2013年02月07日18時15分","7","66","3"
"2013年02月07日18時20分","3","44","0"
"2013年02月07日18時25分","0","56","6"
"2013年02月07日18時30分","31","62","8"
"2013年02月07日18時35分","3","27","0"
"2013年02月07日18時40分","0","35","2"
"2013年02月07日18時45分","7","49","3"
"2013年02月07日18時50分","54","79","8"
"2013年02月07日18時55分","80","66","3"
"2013年02月07日19時00分","20","16","0"
"2013年02月07日19時05分","99","3","0"
"2013年02月07日19時10分","28","42","3"
"2013年02月07日19時15分","63","65","1"
"2013年02月07日19時20分","4","46","0"
"2013年02月08日09時05分","12","51","3"
"2013年02月08日09時10分","33","21","0"
"2013年02月08日09時15分","36","23","0"
"2013年02月08日09時20分","55","52","1"
"2013年02月08日09時25分","46","81","2"
"2013年02月08日09時30分","63","48","0"
"2013年02月08日09時35分","2","42","0"
"2013年02月08日09時40分","0","47","2"
"2013年02月08日09時45分","0","33","0"
"2013年02月08日09時50分","0","34","2"
"2013年02月08日09時55分","10","33","1"
"2013年02月08日10時00分","66","99","2"
"2013年02月08日10時05分","4","48","5"
"2013年02月08日10時10分","8","34","0"
"2013年02月08日10時15分","0","0","0"
"2013年02月08日10時20分","0","0","0"
