"","ブラウザ","メール","ファイル操作","調査　","ＳＱＬサーバ　","エクセル","ワード・パワポ","文書閲覧　","テスト　","プログラミング・デバッグ","登録外"
"2013年02月05日15時35分","0","0","3","0","0","0","0","0","37","127","54"
"2013年02月05日15時40分","0","0","0","0","0","0","0","0","0","297","2"
"2013年02月05日15時45分","0","0","6","0","0","0","0","0","0","215","0"
"2013年02月05日15時50分","0","0","0","148","0","0","0","0","0","31","0"
"2013年02月05日15時55分","0","0","0","2","0","0","0","0","1","0","0"
"2013年02月05日16時00分","22","33","52","0","0","16","0","0","1","41","7"
"2013年02月05日16時05分","0","67","36","0","0","0","0","0","0","0","0"
"2013年02月05日16時10分","0","124","116","42","0","0","0","0","0","0","0"
"2013年02月05日16時15分","0","1","41","0","0","0","0","0","42","195","16"
"2013年02月05日16時20分","0","0","0","0","0","0","0","0","41","255","0"
"2013年02月05日16時25分","0","68","4","0","0","10","0","0","30","126","51"
"2013年02月05日16時30分","0","112","49","0","0","0","0","0","0","0","3"
"2013年02月05日16時35分","119","10","56","0","0","62","0","0","0","0","0"
"2013年02月05日16時40分","0","0","23","22","0","20","0","0","45","0","39"
"2013年02月05日16時45分","0","0","155","62","0","0","0","0","33","0","44"
"2013年02月05日16時50分","0","0","27","268","0","0","0","0","0","0","3"
"2013年02月05日16時55分","0","56","92","92","0","0","0","0","0","0","26"
"2013年02月05日17時00分","0","51","56","95","0","2","0","0","0","52","3"
"2013年02月05日17時05分","124","0","45","0","0","19","0","0","19","1","20"
"2013年02月05日17時10分","0","0","0","0","0","83","0","0","0","0","82"
"2013年02月05日17時15分","10","0","0","0","0","3","0","0","0","0","186"
"2013年02月05日17時20分","97","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日17時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日17時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日17時35分","0","0","4","177","0","0","0","0","0","0","0"
"2013年02月05日17時40分","0","0","32","150","0","0","0","0","0","0","0"
"2013年02月05日17時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日17時50分","65","26","26","4","0","0","0","0","6","0","105"
"2013年02月05日17時55分","10","27","136","91","0","2","0","0","0","0","29"
"2013年02月05日18時00分","0","0","0","0","0","0","0","0","0","0","298"
"2013年02月05日18時05分","63","146","5","22","0","47","0","0","0","0","13"
"2013年02月05日18時10分","0","14","18","6","0","0","0","0","0","0","158"
"2013年02月05日18時15分","64","0","0","3","0","0","0","0","0","0","206"
"2013年02月05日18時20分","0","0","0","0","0","0","0","0","0","0","196"
"2013年02月05日18時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日18時55分","234","6","30","0","0","0","0","0","0","0","0"
"2013年02月05日19時00分","29","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日19時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日19時10分","11","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日19時15分","178","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日19時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日19時25分","141","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日19時30分","42","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日19時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月05日19時40分","0","0","0","0","0","0","0","0","0","0","0"
