"","ブラウザ","メール","ファイル操作","調査　","ＳＱＬサーバ　","エクセル","ワード・パワポ","文書閲覧　","テスト　","プログラミング・デバッグ","登録外"
"2013年02月06日15時05分","58","0","0","0","0","0","0","0","240","0","0"
"2013年02月06日15時10分","293","0","0","0","0","0","0","0","6","0","0"
"2013年02月06日15時15分","44","0","0","0","0","0","0","0","218","0","0"
"2013年02月06日15時20分","133","0","0","0","0","0","0","0","165","0","0"
"2013年02月06日15時25分","25","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日15時30分","119","0","0","0","0","0","0","0","30","0","0"
"2013年02月06日15時35分","284","0","0","0","0","0","0","0","11","0","0"
"2013年02月06日15時40分","198","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日15時45分","34","0","1","0","0","0","0","0","155","0","0"
"2013年02月06日15時50分","1","0","0","0","0","0","0","0","239","0","0"
"2013年02月06日15時55分","0","0","0","0","0","0","0","0","81","0","0"
"2013年02月06日16時00分","29","0","0","0","0","0","0","0","208","0","0"
"2013年02月06日16時05分","0","189","0","0","0","0","0","0","109","0","0"
"2013年02月06日16時10分","0","114","38","0","0","66","0","0","77","0","0"
"2013年02月06日16時15分","4","122","0","0","0","0","0","0","173","0","0"
"2013年02月06日16時20分","5","22","0","0","0","0","0","0","272","0","0"
"2013年02月06日16時25分","181","0","0","0","0","0","0","0","118","0","0"
"2013年02月06日16時30分","102","4","0","0","0","0","0","0","182","0","0"
"2013年02月06日16時35分","20","0","0","0","0","0","0","0","265","0","0"
"2013年02月06日16時40分","145","0","0","0","0","0","0","0","153","0","0"
"2013年02月06日16時45分","112","103","0","0","0","0","0","0","21","0","0"
"2013年02月06日16時50分","0","113","0","0","0","0","0","0","133","0","0"
"2013年02月06日16時55分","194","0","0","0","0","0","0","0","23","0","0"
"2013年02月06日17時00分","3","58","0","0","0","0","0","0","187","0","0"
"2013年02月06日17時05分","0","183","14","0","0","97","3","0","0","0","0"
"2013年02月06日17時10分","0","173","1","0","0","13","2","0","0","0","0"
"2013年02月06日17時15分","44","87","0","0","0","0","0","0","0","0","0"
"2013年02月06日17時20分","185","5","1","0","0","0","0","0","104","0","0"
"2013年02月06日17時25分","138","75","10","0","0","0","0","0","73","0","0"
"2013年02月06日17時30分","77","0","0","0","0","0","0","0","218","0","0"
"2013年02月06日17時35分","40","23","0","0","0","0","0","0","223","0","10"
"2013年02月06日17時40分","19","7","6","0","0","0","0","0","81","0","184"
"2013年02月06日17時45分","65","185","0","0","0","0","0","0","0","0","0"
"2013年02月06日17時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日17時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日18時00分","39","15","25","0","0","26","0","0","79","0","0"
"2013年02月06日18時05分","0","0","0","0","0","0","0","0","101","0","0"
"2013年02月06日18時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日18時15分","0","0","0","0","0","0","0","0","102","0","0"
"2013年02月06日18時20分","0","12","0","0","0","0","0","0","286","0","0"
"2013年02月06日18時25分","8","233","4","0","0","0","0","0","44","0","0"
"2013年02月06日18時30分","0","300","0","0","0","0","0","0","0","0","0"
"2013年02月06日18時35分","39","257","0","0","0","0","0","0","0","0","0"
"2013年02月06日18時40分","182","32","0","0","0","0","0","0","43","0","0"
"2013年02月06日18時45分","280","2","0","0","0","0","0","0","0","0","4"
"2013年02月07日09時00分","253","0","0","0","0","0","0","0","0","0","40"
"2013年02月07日09時05分","28","211","0","0","0","0","0","0","0","0","0"
"2013年02月07日09時10分","0","299","0","0","0","0","0","0","0","0","0"
"2013年02月07日09時15分","199","81","4","0","0","12","0","0","0","0","0"
"2013年02月07日09時20分","0","0","0","0","0","275","0","0","0","0","0"
"2013年02月07日09時25分","0","0","0","0","0","187","0","0","0","0","0"
"2013年02月07日09時30分","51","0","0","0","0","173","0","0","0","0","0"
"2013年02月07日09時35分","98","9","26","0","0","115","0","0","47","0","0"
"2013年02月07日09時40分","0","0","0","0","0","0","0","0","172","0","0"
"2013年02月07日09時45分","3","3","14","0","0","71","0","0","201","0","0"
"2013年02月07日09時50分","0","0","2","0","0","21","0","0","179","0","0"
"2013年02月07日09時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日10時00分","0","65","12","0","0","0","0","0","6","0","0"
"2013年02月07日10時05分","0","157","141","0","0","0","0","0","0","0","0"
"2013年02月07日10時10分","22","22","214","0","0","0","0","0","33","0","0"
"2013年02月07日10時15分","2","35","15","0","0","17","0","0","35","0","0"
"2013年02月07日10時20分","0","1","0","0","0","0","0","0","179","0","0"
"2013年02月07日10時25分","19","74","15","0","0","0","0","0","164","0","0"
"2013年02月07日10時30分","0","0","93","0","0","0","0","0","147","0","0"
"2013年02月07日10時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日10時40分","0","126","0","0","0","0","0","0","0","0","0"
"2013年02月07日10時45分","0","81","0","0","0","0","0","0","0","0","0"
"2013年02月07日10時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日10時55分","0","13","167","0","0","0","0","0","0","0","0"
"2013年02月07日11時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日12時05分","0","0","0","0","0","0","0","0","0","0","0"
