"","ブラウザ - 打鍵回数","メール - 打鍵回数","ファイル操作 - 打鍵回数","調査　 - 打鍵回数","ＳＱＬサーバ　 - 打鍵回数","エクセル - 打鍵回数","ワード・パワポ - 打鍵回数","文書閲覧　 - 打鍵回数","テスト　 - 打鍵回数","プログラミング・デバッグ - 打鍵回数","登録外 - 打鍵回数"
"2013年02月12日10時10分","0","0","2","0","0","3","0","0","18","0","0"
"2013年02月12日10時15分","0","1","2","0","0","2","0","0","61","0","0"
"2013年02月12日10時20分","0","0","0","0","0","8","0","0","96","0","0"
"2013年02月12日10時25分","0","0","0","0","0","2","0","0","65","0","0"
"2013年02月12日10時30分","0","0","0","0","0","3","0","0","92","0","0"
"2013年02月12日10時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月12日10時40分","1","0","0","0","0","0","0","0","0","0","0"
"2013年02月12日10時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月12日10時50分","0","0","1","0","0","1","0","0","0","0","0"
"2013年02月12日10時55分","12","9","0","0","0","28","0","0","0","0","0"
"2013年02月12日11時00分","35","205","0","0","0","0","0","0","0","0","0"
"2013年02月12日11時05分","9","83","0","0","0","0","0","0","0","0","0"
"2013年02月12日11時10分","8","14","0","0","0","0","0","0","20","0","0"
"2013年02月12日11時15分","0","0","0","0","0","0","0","0","2","0","0"
"2013年02月12日11時20分","12","0","0","0","0","0","0","0","0","0","0"
"2013年02月12日11時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月12日11時30分","0","0","0","0","0","0","0","0","1","0","0"
"2013年02月12日11時35分","1","0","2","0","0","0","0","0","0","0","0"
"2013年02月12日11時40分","0","0","0","0","0","143","0","0","0","0","0"
"2013年02月12日11時45分","2","15","0","0","0","0","0","0","2","0","0"
"2013年02月12日11時50分","0","2","5","0","0","72","0","0","0","0","0"
"2013年02月12日11時55分","0","0","0","0","0","108","0","0","8","0","0"
"2013年02月12日12時00分","0","0","0","0","0","0","0","0","2","0","0"
"2013年02月12日12時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月12日12時10分","0","0","0","0","0","0","0","0","7","0","4"
"2013年02月12日12時15分","0","0","0","0","0","0","0","0","0","0","1"
"2013年02月12日12時20分","0","0","0","0","0","21","0","0","0","0","1"
"2013年02月12日12時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月12日12時30分","29","22","0","0","0","0","0","0","0","0","0"
"2013年02月12日12時35分","29","73","0","0","0","0","0","0","0","0","0"
"2013年02月12日12時40分","230","0","13","0","0","43","0","0","0","0","0"
"2013年02月12日12時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月12日12時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月12日12時55分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月12日13時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月12日13時05分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月12日13時10分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月12日13時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月12日13時55分","0","0","0","0","0","0","0","0","4","0","0"
"2013年02月12日14時00分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月12日14時05分","0","0","0","0","0","0","0","0","1","0","0"
"2013年02月12日14時10分","0","0","2","7","0","1","0","0","3","0","0"
"2013年02月12日14時15分","0","0","5","6","0","0","0","0","8","0","0"
"2013年02月12日14時20分","0","0","0","0","0","0","0","0","0","0","0"
