"","ブラウザ","メール","ファイル操作","調査　","ＳＱＬサーバ　","エクセル","ワード・パワポ","文書閲覧　","テスト　","プログラミング・デバッグ","登録外"
"2013年02月12日15時45分","31","231","24","0","0","0","0","0","0","0","11"
"2013年02月12日15時50分","5","45","10","0","0","10","0","0","228","0","0"
"2013年02月12日15時55分","0","0","4","0","0","40","0","0","254","0","0"
"2013年02月12日16時00分","98","25","0","0","0","22","0","0","152","0","0"
"2013年02月12日16時05分","134","0","0","0","0","107","0","0","0","0","0"
"2013年02月12日16時10分","10","26","57","0","0","154","0","0","2","0","46"
"2013年02月12日16時15分","109","0","25","0","0","13","0","0","93","0","55"
"2013年02月12日16時20分","267","30","0","0","0","0","0","0","0","0","0"
"2013年02月12日16時25分","200","5","10","0","0","0","0","0","0","0","0"
"2013年02月12日16時30分","148","12","5","0","0","95","0","0","0","0","0"
"2013年02月12日16時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月12日16時40分","0","0","51","0","0","0","0","0","0","0","0"
"2013年02月12日16時45分","22","0","179","4","0","24","19","0","0","0","0"
"2013年02月12日16時50分","0","0","136","0","0","159","0","0","0","0","0"
"2013年02月12日16時55分","0","0","0","0","0","16","0","0","0","0","110"
"2013年02月12日17時00分","0","5","0","0","0","39","0","0","0","0","42"
"2013年02月12日17時05分","0","0","41","0","0","1","0","0","0","0","87"
"2013年02月12日17時10分","0","0","123","0","0","11","0","0","0","0","0"
"2013年02月12日17時15分","166","11","26","0","0","0","0","0","0","0","11"
"2013年02月12日17時20分","121","73","0","0","0","0","0","0","0","0","0"
"2013年02月12日17時25分","1","6","9","0","0","28","0","0","74","0","0"
"2013年02月12日17時30分","0","0","0","0","0","39","0","0","259","0","0"
"2013年02月12日17時35分","0","0","0","0","0","33","0","0","265","0","0"
"2013年02月12日17時40分","0","0","13","0","0","13","0","0","220","0","51"
"2013年02月12日17時45分","0","0","0","0","0","0","0","0","291","0","9"
"2013年02月12日17時50分","31","5","23","0","0","6","0","0","95","0","14"
"2013年02月12日17時55分","197","0","0","0","0","0","0","0","0","0","0"
"2013年02月12日18時00分","183","25","0","0","0","0","0","0","0","0","0"
"2013年02月12日18時05分","203","0","1","0","0","0","0","0","0","0","91"
"2013年02月12日18時10分","90","0","0","0","0","0","0","0","0","0","4"
"2013年02月12日18時15分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月12日18時20分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月12日18時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月12日18時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月12日18時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月12日18時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月12日18時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月12日18時50分","29","98","0","0","0","0","0","0","0","0","0"
"2013年02月12日18時55分","2","1","10","0","0","0","0","0","73","0","210"
"2013年02月12日19時00分","80","2","16","0","0","0","0","0","36","0","161"
"2013年02月12日19時05分","70","0","132","0","0","0","0","0","30","0","64"
"2013年02月12日19時10分","0","0","37","0","0","0","0","0","0","0","260"
"2013年02月12日19時15分","69","0","0","0","0","0","0","0","0","0","227"
"2013年02月12日19時20分","21","0","63","0","0","0","0","0","0","0","163"
"2013年02月12日19時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月12日19時30分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月12日19時35分","0","0","61","0","0","2","0","0","108","0","9"
"2013年02月12日19時40分","0","0","0","0","0","53","0","0","222","0","0"
"2013年02月12日19時45分","39","0","0","0","0","8","0","0","121","0","129"
"2013年02月12日19時50分","0","0","0","0","0","10","0","0","264","0","24"
"2013年02月12日19時55分","45","3","3","0","0","9","0","0","158","0","33"
"2013年02月12日20時00分","271","15","0","0","0","0","0","0","0","0","11"
"2013年02月12日20時05分","240","12","5","0","0","0","0","0","0","0","36"
"2013年02月13日09時00分","140","165","60","0","0","0","0","0","0","0","61"
"2013年02月13日09時05分","44","0","4","0","0","0","0","0","251","0","0"
"2013年02月13日09時10分","0","0","0","0","0","0","0","0","300","0","0"
"2013年02月13日09時15分","15","0","0","0","0","0","0","0","284","0","0"
"2013年02月13日09時20分","0","0","0","0","0","0","0","0","300","0","0"
"2013年02月13日09時25分","0","0","0","0","0","0","0","0","300","0","0"
"2013年02月13日09時30分","0","0","0","0","0","0","0","0","300","0","0"
