Task,StartTime,EndTime,LeftClicks,RightClicks,Keystrokes
Browser,20130205:125024,20130205:125027,0,0,0
Browser,20130205:125027,20130205:125039,0,0,0
Browser,20130205:125039,20130205:125042,0,0,0
Browser,20130205:125042,20130205:125043,0,0,0
Testing,20130205:125043,20130205:125049,0,0,2
Database,20130205:125049,20130205:125058,0,0,6
Testing,20130205:125058,20130205:125101,0,0,2
Testing,20130205:125101,20130205:125103,0,0,0
Testing,20130205:125103,20130205:125104,0,0,0
Testing,20130205:125104,20130205:125107,0,0,0
Testing,20130205:125107,20130205:125108,0,0,0
Testing,20130205:125108,20130205:125112,0,0,0
Testing,20130205:125112,20130205:125115,0,0,2
Testing,20130205:125115,20130205:125124,0,0,0
Database,20130205:125124,20130205:125216,0,0,106
Other,20130205:125217,20130205:125315,0,0,0
Database,20130205:125315,20130205:125319,0,0,0
Testing,20130205:125319,20130205:125325,0,0,2
Testing,20130205:125325,20130205:125327,0,0,2
Testing,20130205:125327,20130205:125356,0,0,0
Database,20130205:125356,20130205:125409,0,0,23
Testing,20130205:125409,20130205:125418,0,0,0
Testing,20130205:125418,20130205:125423,0,0,2
Testing,20130205:125423,20130205:125426,0,0,0
Database,20130205:125426,20130205:125436,0,0,5
Testing,20130205:125436,20130205:125441,0,0,3
Testing,20130205:125441,20130205:125443,0,0,1
Testing,20130205:125443,20130205:125458,0,0,0
Testing,20130205:125458,20130205:125459,0,0,0
Testing,20130205:125459,20130205:125504,0,0,0
Testing,20130205:125504,20130205:125616,0,0,0
Database,20130205:125616,20130205:125642,0,0,0
Testing,20130205:125642,20130205:125654,0,0,0
Testing,20130205:125654,20130205:125700,0,0,0
Database,20130205:125700,20130205:125706,0,0,0
Excel,20130205:125706,20130205:125743,0,0,13
FileOperation,20130205:125743,20130205:125745,0,0,0
Excel,20130205:125745,20130205:125746,0,0,0
Database,20130205:125746,20130205:125748,0,0,0
Testing,20130205:125748,20130205:125750,0,0,0
Other,20130205:125750,20130205:125751,0,0,0
Other,20130205:125751,20130205:125807,0,0,0
FileOperation,20130205:125807,20130205:125813,0,0,0
FileOperation,20130205:125813,20130205:125818,0,0,0
FileOperation,20130205:125818,20130205:125821,0,0,0
Other,20130205:125821,20130205:125841,0,0,0
Database,20130205:125841,20130205:130004,0,0,0
Database,20130205:130004,20130205:130024,0,0,0
Other,20130205:130036,20130205:130037,0,0,2
Other,20130205:130037,20130205:130039,0,0,4
Other,20130205:130039,20130205:130043,0,0,0
Database,20130205:130043,20130205:130051,0,0,0
Other,20130205:130051,20130205:130056,0,0,0
Database,20130205:130056,20130205:130058,0,0,0
FileOperation,20130205:130058,20130205:130059,0,0,0
FileOperation,20130205:130059,20130205:130102,0,0,0
Database,20130205:130102,20130205:130103,0,0,0
FileOperation,20130205:130103,20130205:130104,0,0,0
FileOperation,20130205:130104,20130205:130107,0,0,0
Database,20130205:130107,20130205:130108,0,0,0
FileOperation,20130205:130108,20130205:130109,0,0,0
FileOperation,20130205:130109,20130205:130111,0,0,0
Other,20130205:130111,20130205:130114,0,0,0
Other,20130205:130114,20130205:130117,0,0,0
Other,20130205:130117,20130205:130133,0,0,8
Database,20130205:130133,20130205:130146,0,0,4
Testing,20130205:130146,20130205:130147,0,0,0
Testing,20130205:130147,20130205:130148,0,0,0
Testing,20130205:130148,20130205:130149,0,0,0
Testing,20130205:130149,20130205:130150,0,0,0
Database,20130205:130150,20130205:130151,0,0,0
FileOperation,20130205:130151,20130205:130152,0,0,0
Database,20130205:130152,20130205:130157,0,0,0
Testing,20130205:130157,20130205:130217,0,0,56
Database,20130205:130217,20130205:130218,0,0,0
Testing,20130205:130218,20130205:130219,0,0,0
Testing,20130205:130219,20130205:130220,0,0,0
Testing,20130205:130220,20130205:130226,0,0,0
Testing,20130205:130226,20130205:130229,0,0,0
Testing,20130205:130229,20130205:130230,0,0,0
Testing,20130205:130230,20130205:130307,0,0,0
Database,20130205:130307,20130205:130314,0,0,0
FileOperation,20130205:130314,20130205:130315,0,0,0
FileOperation,20130205:130315,20130205:130504,0,0,0
FileOperation,20130205:130504,20130205:130516,0,0,0
Other,20130205:130558,20130205:130559,0,0,2
Other,20130205:130559,20130205:130600,0,0,4
Other,20130205:130600,20130205:130610,0,0,0
FileOperation,20130205:130610,20130205:130613,0,0,0
Other,20130205:130613,20130205:130621,0,0,0
FileOperation,20130205:130621,20130205:130642,0,0,0
FileOperation,20130205:130642,20130205:130644,0,0,0
FileOperation,20130205:130644,20130205:130645,0,0,0
FileOperation,20130205:130645,20130205:130649,0,0,0
FileOperation,20130205:130649,20130205:130730,0,0,0
FileOperation,20130205:130730,20130205:130737,0,0,0
Email,20130205:130738,20130205:130739,0,0,0
Email,20130205:130739,20130205:130740,0,0,0
Email,20130205:130740,20130205:130747,0,0,0
FileOperation,20130205:130747,20130205:130748,0,0,0
FileOperation,20130205:130748,20130205:130749,0,0,0
FileOperation,20130205:130749,20130205:130751,0,0,0
FileOperation,20130205:130751,20130205:130753,0,0,0
FileOperation,20130205:130753,20130205:130755,0,0,0
FileOperation,20130205:130755,20130205:130756,0,0,0
