Task name,start time,end time,left click,right click,keystroke
file operation,20130204:101241,20130204:101246,0,0,0
file operation,20130204:101246,20130204:101248,0,0,0
file operation,20130204:101248,20130204:101251,0,0,0
file operation,20130204:101251,20130204:101252,0,0,2
file operation,20130204:101252,20130204:101258,0,0,8
file operation,20130204:101258,20130204:101300,0,0,0
file operation,20130204:101300,20130204:101302,0,0,0
file operation,20130204:101302,20130204:101303,0,0,0
file operation,20130204:101303,20130204:101306,0,0,0
others,20130204:101306,20130204:101307,0,0,0
file operation,20130204:101307,20130204:101309,0,0,0
others,20130204:101309,20130204:101313,0,0,0
others,20130204:101313,20130204:101319,0,0,0
others,20130204:101319,20130204:101327,0,0,16
others,20130204:101327,20130204:101408,0,0,46
others,20130204:101408,20130204:101410,0,0,0
others,20130204:101410,20130204:101415,0,0,2
others,20130204:101415,20130204:101418,0,0,4
others,20130204:101418,20130204:101419,0,0,0
others,20130204:101419,20130204:101423,0,0,0
others,20130204:101423,20130204:101430,0,0,0
others,20130204:101430,20130204:101433,0,0,4
others,20130204:101433,20130204:101435,0,0,0
others,20130204:101435,20130204:101440,0,0,4
others,20130204:101440,20130204:101446,0,0,0
others,20130204:101446,20130204:101454,0,0,2
others,20130204:101454,20130204:101455,0,0,0
others,20130204:101455,20130204:101501,0,0,4
others,20130204:101501,20130204:101502,0,0,0
others,20130204:101502,20130204:101522,0,0,0
browsing,20130204:101522,20130204:101525,0,0,0
browsing,20130204:101525,20130204:101535,0,0,0
browsing,20130204:101535,20130204:101622,0,0,0
others,20130204:101622,20130204:101635,0,0,0
browsing,20130204:101635,20130204:101733,0,0,0
others,20130204:101733,20130204:101735,0,0,0
others,20130204:101735,20130204:101745,0,0,0
others,20130204:101745,20130204:101757,0,0,0
others,20130204:101757,20130204:101758,0,0,0
others,20130204:101926,20130204:101928,0,0,2
others,20130204:101928,20130204:101929,0,0,0
others,20130204:101929,20130204:101934,0,0,4
others,20130204:101934,20130204:101945,0,0,0
others,20130204:101945,20130204:102003,0,0,4
others,20130204:102003,20130204:102036,0,0,12
others,20130204:102036,20130204:102037,0,0,0
others,20130204:102037,20130204:102041,0,0,0
others,20130204:102041,20130204:102057,0,0,0
others,20130204:102057,20130204:102059,0,0,0
others,20130204:102059,20130204:102131,0,0,0
others,20130204:102131,20130204:102149,0,0,4
others,20130204:102149,20130204:102150,0,0,0
others,20130204:102150,20130204:102153,0,0,0
others,20130204:102153,20130204:102201,0,0,0
others,20130204:102201,20130204:102203,0,0,0
others,20130204:102203,20130204:102205,0,0,0
others,20130204:102205,20130204:102222,0,0,2
others,20130204:102222,20130204:102224,0,0,1
others,20130204:102224,20130204:102225,0,0,2
others,20130204:102225,20130204:102229,0,0,0
others,20130204:102229,20130204:102250,0,0,0
others,20130204:102251,20130204:102255,0,0,0
others,20130204:102255,20130204:102301,0,0,0
others,20130204:102301,20130204:102319,0,0,0
others,20130204:102319,20130204:102503,0,0,12
others,20130204:102503,20130204:102644,0,0,0
others,20130204:102751,20130204:102848,0,0,33
others,20130204:102848,20130204:102902,0,0,1
others,20130204:102902,20130204:103003,0,0,28
others,20130204:103003,20130204:103051,0,0,0
others,20130204:103051,20130204:103052,0,0,0
email,20130204:103052,20130204:103054,0,0,0
email,20130204:103054,20130204:103106,0,0,0
others,20130204:103106,20130204:103119,0,0,0
others,20130204:103120,20130204:103123,0,0,0
others,20130204:103124,20130204:103150,0,0,0
others,20130204:103150,20130204:103226,0,0,0
file operation,20130204:103306,20130204:103314,0,0,3
others,20130204:103314,20130204:103316,0,0,0
others,20130204:103316,20130204:103317,0,0,0
others,20130204:103317,20130204:103340,0,0,0
file operation,20130204:103340,20130204:103341,0,0,0
others,20130204:103341,20130204:103343,0,0,0
others,20130204:103343,20130204:103344,0,0,0
others,20130204:103344,20130204:103345,0,0,0
others,20130204:103345,20130204:103346,0,0,0
others,20130204:103346,20130204:103357,0,0,24
others,20130204:103357,20130204:103359,0,0,0
others,20130204:103359,20130204:103400,0,0,0
others,20130204:103400,20130204:103455,0,0,33
others,20130204:103455,20130204:103456,0,0,0
others,20130204:103456,20130204:103459,0,0,0
others,20130204:103459,20130204:103503,0,0,4
others,20130204:103503,20130204:103504,0,0,0
others,20130204:103504,20130204:103508,0,0,0
others,20130204:103508,20130204:103511,0,0,0
others,20130204:103511,20130204:103519,0,0,0
others,20130204:103519,20130204:103521,0,0,0
others,20130204:103521,20130204:103553,0,0,0
others,20130204:103553,20130204:103607,0,0,0
others,20130204:103607,20130204:103609,0,0,0
others,20130204:103609,20130204:103612,0,0,0
others,20130204:103612,20130204:103626,0,0,0
others,20130204:103626,20130204:103627,0,0,0
others,20130204:103627,20130204:103628,0,0,0
others,20130204:103628,20130204:103630,0,0,0
others,20130204:103630,20130204:103647,0,0,7
file operation,20130204:103647,20130204:103648,0,0,0
file operation,20130204:103648,20130204:103649,0,0,0
file operation,20130204:103649,20130204:103653,0,0,0
file operation,20130204:103653,20130204:103654,0,0,0
file operation,20130204:103654,20130204:103657,0,0,0
file operation,20130204:103657,20130204:103659,0,0,0
file operation,20130204:103659,20130204:103702,0,0,0
file operation,20130204:103702,20130204:103707,0,0,0
others,20130204:103707,20130204:103717,0,0,1
others,20130204:103717,20130204:103734,0,0,33
others,20130204:103734,20130204:103741,0,0,2
others,20130204:103741,20130204:103747,0,0,2
others,20130204:103747,20130204:103751,0,0,1
others,20130204:103751,20130204:103759,0,0,11
others,20130204:103759,20130204:103809,0,0,8
others,20130204:103809,20130204:103810,0,0,0
others,20130204:103810,20130204:103826,0,0,6
others,20130204:103826,20130204:103831,0,0,7
others,20130204:103831,20130204:103833,0,0,0
others,20130204:103833,20130204:103837,0,0,1
others,20130204:103837,20130204:103840,0,0,0
others,20130204:103840,20130204:103841,0,0,2
others,20130204:103841,20130204:103906,0,0,31
others,20130204:103906,20130204:103916,0,0,13
others,20130204:103916,20130204:103924,0,0,6
others,20130204:103924,20130204:103925,0,0,0
others,20130204:103925,20130204:103936,0,0,1
others,20130204:103936,20130204:103953,0,0,27
others,20130204:103953,20130204:103955,0,0,0
others,20130204:103955,20130204:103959,0,0,2
others,20130204:103959,20130204:104004,0,0,2
others,20130204:104004,20130204:104033,0,0,34
others,20130204:104033,20130204:104043,0,0,14
others,20130204:104043,20130204:104135,0,0,17
others,20130204:104135,20130204:104138,0,0,0
others,20130204:104138,20130204:104156,0,0,4
others,20130204:104156,20130204:104158,0,0,2
others,20130204:104158,20130204:104200,0,0,0
file operation,20130204:104200,20130204:104203,0,0,0
file operation,20130204:104203,20130204:104204,0,0,0
file operation,20130204:104204,20130204:104206,0,0,0
others,20130204:104206,20130204:104208,0,0,0
others,20130204:104208,20130204:104209,0,0,0
others,20130204:104209,20130204:104220,0,0,2
others,20130204:104220,20130204:104221,0,0,0
others,20130204:104221,20130204:104300,0,0,0
browsing,20130204:104301,20130204:104302,0,0,0
browsing,20130204:104302,20130204:104416,0,0,0
file operation,20130204:104416,20130204:104423,0,0,0
browsing,20130204:104423,20130204:104457,0,0,0
file operation,20130204:104457,20130204:104504,0,0,0
file operation,20130204:104504,20130204:104508,0,0,0
Excel,20130204:104508,20130204:104514,0,0,0
Excel,20130204:104514,20130204:104546,0,0,53
browsing,20130204:104546,20130204:104655,0,0,2
Excel,20130204:104655,20130204:104822,0,0,145
others,20130204:104822,20130204:104825,0,0,0
others,20130204:104825,20130204:104830,0,0,0
others,20130204:104830,20130204:104841,0,0,0
others,20130204:104841,20130204:104908,0,0,0
Excel,20130204:104908,20130204:104929,0,0,41
browsing,20130204:104929,20130204:104942,0,0,0
Excel,20130204:104942,20130204:104947,0,0,4
others,20130204:104948,20130204:104952,0,0,0
others,20130204:104952,20130204:104956,0,0,1
others,20130204:104956,20130204:104957,0,0,1
others,20130204:104957,20130204:105003,0,0,2
