"","ブラウザ - 打鍵回数","メール - 打鍵回数","ファイル操作 - 打鍵回数","調査　 - 打鍵回数","ＳＱＬサーバ　 - 打鍵回数","エクセル - 打鍵回数","ワード・パワポ - 打鍵回数","文書閲覧　 - 打鍵回数","テスト　 - 打鍵回数","プログラミング・デバッグ - 打鍵回数","登録外 - 打鍵回数"
"2013年02月06日14時45分","0","0","0","0","0","0","0","0","0","0","76"
"2013年02月06日14時50分","0","0","0","0","0","0","0","0","0","0","74"
"2013年02月06日14時55分","1","0","10","49","0","46","0","0","0","0","48"
"2013年02月06日15時00分","0","0","0","31","0","10","0","0","0","0","0"
"2013年02月06日15時05分","0","0","0","70","0","40","0","0","0","0","0"
"2013年02月06日15時10分","0","0","0","99","0","31","0","0","0","0","0"
"2013年02月06日15時15分","0","0","0","19","0","180","0","0","0","0","0"
"2013年02月06日15時20分","11","0","0","0","0","16","0","0","0","0","0"
"2013年02月06日15時25分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日15時30分","2","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日15時35分","1","0","1","0","0","19","0","0","0","0","0"
"2013年02月06日15時40分","0","0","31","0","0","1","0","0","0","0","0"
"2013年02月06日15時45分","0","0","1","0","0","0","0","0","0","0","0"
"2013年02月06日15時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日15時55分","0","0","0","0","0","0","0","0","19","0","51"
"2013年02月06日16時00分","0","0","65","0","0","0","0","0","75","0","0"
"2013年02月06日16時05分","0","0","6","85","176","0","0","0","0","0","0"
"2013年02月06日16時10分","0","0","2","164","97","0","0","0","59","0","2"
"2013年02月06日16時15分","0","0","0","32","37","0","0","0","39","0","0"
"2013年02月06日16時20分","0","13","0","0","47","0","0","0","0","0","0"
"2013年02月06日16時25分","0","0","0","0","4","0","0","0","0","0","0"
"2013年02月06日16時30分","0","0","0","0","52","0","0","0","0","0","0"
"2013年02月06日16時35分","0","0","0","0","53","0","0","0","0","0","0"
"2013年02月06日16時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日16時45分","0","0","0","0","2","0","0","0","0","0","0"
"2013年02月06日16時50分","0","0","0","0","0","166","0","0","0","0","0"
"2013年02月06日16時55分","0","0","0","0","179","153","0","0","0","0","0"
"2013年02月06日17時00分","0","0","0","0","0","199","0","0","0","0","0"
"2013年02月06日17時05分","0","0","0","0","0","65","0","0","0","0","0"
"2013年02月06日17時10分","0","0","0","0","0","247","0","0","0","0","0"
"2013年02月06日17時15分","0","0","0","0","0","161","0","0","0","0","0"
"2013年02月06日17時20分","9","0","0","0","0","168","0","0","0","0","0"
"2013年02月06日17時25分","1","0","0","0","26","14","0","0","0","0","0"
"2013年02月06日17時30分","21","0","0","0","16","62","0","0","0","0","0"
"2013年02月06日17時35分","0","0","0","0","0","137","0","0","0","0","0"
"2013年02月06日17時40分","0","0","0","0","66","0","0","0","0","0","0"
"2013年02月06日17時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日17時50分","0","0","0","0","0","27","0","0","6","0","0"
"2013年02月06日17時55分","9","0","0","2","0","36","0","0","0","0","0"
"2013年02月06日18時00分","24","10","0","0","105","0","0","0","0","0","0"
"2013年02月06日18時05分","13","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日18時10分","3","0","0","0","0","0","0","0","0","0","0"
"2013年02月06日18時15分","30","0","0","0","0","4","0","0","0","0","0"
