"","打鍵回数","左クリック","右クリック"
"2013年02月07日11時45分","0","0","0"
"2013年02月07日11時50分","0","0","0"
"2013年02月07日11時55分","0","0","0"
"2013年02月07日12時00分","0","0","0"
"2013年02月07日12時05分","0","0","0"
"2013年02月07日12時10分","0","0","0"
"2013年02月07日12時15分","0","0","0"
"2013年02月07日12時20分","0","0","0"
"2013年02月07日12時25分","0","0","0"
"2013年02月07日12時30分","0","0","0"
"2013年02月07日12時35分","0","0","0"
"2013年02月07日12時40分","18","0","0"
"2013年02月07日12時45分","5","0","0"
"2013年02月07日12時50分","54","0","0"
"2013年02月07日12時55分","89","0","0"
"2013年02月07日13時00分","0","0","0"
"2013年02月07日13時05分","7","0","0"
"2013年02月07日13時10分","53","0","0"
"2013年02月07日13時15分","131","0","0"
"2013年02月07日13時20分","48","0","0"
"2013年02月07日13時25分","30","0","0"
"2013年02月07日13時30分","11","0","0"
"2013年02月07日13時35分","55","0","0"
"2013年02月07日13時40分","4","0","0"
"2013年02月07日13時45分","43","0","0"
"2013年02月07日13時50分","2","0","0"
"2013年02月07日13時55分","0","0","0"
"2013年02月07日14時00分","160","0","0"
"2013年02月07日14時05分","19","0","0"
"2013年02月07日14時10分","154","0","0"
"2013年02月07日14時15分","214","0","0"
"2013年02月07日14時20分","44","0","0"
"2013年02月07日14時25分","17","0","0"
"2013年02月07日14時30分","108","0","0"
"2013年02月07日14時35分","4","0","0"
"2013年02月07日14時40分","395","0","0"
"2013年02月07日14時45分","163","0","0"
"2013年02月07日14時50分","436","0","0"
"2013年02月07日14時55分","179","0","0"
"2013年02月07日15時00分","91","0","0"
"2013年02月07日15時05分","41","0","0"
"2013年02月07日15時10分","88","0","0"
"2013年02月07日15時15分","74","0","0"
"2013年02月07日15時20分","154","0","0"
"2013年02月07日15時25分","2","0","0"
"2013年02月07日15時30分","36","0","0"
"2013年02月07日15時35分","186","0","0"
"2013年02月07日15時40分","83","0","0"
"2013年02月07日15時45分","288","0","0"
"2013年02月07日15時50分","206","0","0"
"2013年02月07日15時55分","13","0","0"
"2013年02月07日16時00分","110","0","0"
"2013年02月07日16時05分","48","0","0"
"2013年02月07日16時10分","34","0","0"
"2013年02月07日16時15分","85","0","0"
"2013年02月07日16時20分","16","0","0"
"2013年02月07日16時25分","112","0","0"
"2013年02月07日16時30分","3","0","0"
"2013年02月07日16時35分","30","0","0"
"2013年02月07日16時40分","0","0","0"
"2013年02月07日16時45分","59","0","0"
"2013年02月07日16時50分","66","0","0"
"2013年02月07日16時55分","0","0","0"
"2013年02月07日17時00分","0","0","0"
"2013年02月07日17時05分","0","0","0"
"2013年02月07日17時10分","52","0","0"
"2013年02月07日17時15分","96","0","0"
"2013年02月07日17時20分","67","0","0"
"2013年02月07日17時25分","394","0","0"
"2013年02月07日17時30分","241","0","0"
"2013年02月07日17時35分","55","0","0"
"2013年02月07日17時40分","114","0","0"
"2013年02月07日17時45分","253","0","0"
"2013年02月07日17時50分","136","0","0"
"2013年02月07日17時55分","70","0","0"
"2013年02月07日18時00分","304","0","0"
"2013年02月07日18時05分","122","0","0"
"2013年02月07日18時10分","139","0","0"
"2013年02月08日09時10分","137","88","1"
"2013年02月08日09時15分","29","43","1"
"2013年02月08日09時20分","507","3","0"
