"","ブラウザ - 打鍵回数","メール - 打鍵回数","ファイル操作 - 打鍵回数","調査　 - 打鍵回数","ＳＱＬサーバ　 - 打鍵回数","エクセル - 打鍵回数","ワード・パワポ - 打鍵回数","文書閲覧　 - 打鍵回数","テスト　 - 打鍵回数","プログラミング・デバッグ - 打鍵回数","登録外 - 打鍵回数"
"2013年02月07日10時15分","4","0","0","0","0","0","0","0","0","78","0"
"2013年02月07日10時20分","0","0","0","57","0","0","0","0","0","43","0"
"2013年02月07日10時25分","0","0","0","0","0","0","0","0","0","192","0"
"2013年02月07日10時30分","0","0","0","4","0","0","0","0","0","230","0"
"2013年02月07日10時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日10時40分","0","0","22","3","0","0","0","0","0","110","0"
"2013年02月07日10時45分","0","0","73","19","1","0","0","0","4","0","0"
"2013年02月07日10時50分","0","0","5","2","153","0","0","0","0","0","0"
"2013年02月07日10時55分","0","0","10","1","80","0","0","0","5","0","0"
"2013年02月07日11時00分","0","0","12","1","14","45","0","0","0","0","0"
"2013年02月07日11時05分","0","0","7","0","0","19","0","0","0","0","0"
"2013年02月07日11時10分","0","0","4","0","0","193","0","0","0","12","0"
"2013年02月07日11時15分","0","0","3","0","9","0","0","0","0","55","0"
"2013年02月07日11時20分","0","0","0","0","0","0","0","0","0","6","0"
"2013年02月07日11時25分","0","0","11","1","0","0","0","0","0","249","0"
"2013年02月07日11時30分","0","0","0","0","26","0","0","0","1","0","0"
"2013年02月07日11時35分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時40分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時45分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時50分","0","0","0","0","0","0","0","0","0","0","0"
"2013年02月07日11時55分","0","0","0","2","0","0","0","0","0","137","0"
"2013年02月07日12時00分","0","0","2","4","102","0","0","0","0","11","0"
"2013年02月07日12時05分","0","0","22","19","54","0","0","0","5","16","0"
"2013年02月07日12時10分","0","0","31","10","58","0","0","0","0","0","0"
